id,initial_quantity,original_price,accepts_mercadopago,base_price,seller_address.country.name,listing_type_id,start_time,buying_mode,price,warranty,available_quantity,tags,status,seller_address.state.name,health,catalog_product_id,seller_id,category_id,title,condition,sold_quantity,official_store_id,domain_id,item_id
MLA832834395,5231,,True,5700.0,Argentina,gold_special,2020-01-03T11:56:29.000Z,buy_it_now,5700.0,Garantía del vendedor: 12 meses,500,"['good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",active,Capital Federal,,MLA13841393,255318143,MLA352001, Google Chromecast 3rd Generation  Full Hd  Carbón,new,500,,MLA-STREAMING_MEDIA_DEVICES,MLA832834395
MLA903487324,1015,,True,14800.0,Argentina,gold_special,2021-01-07T19:50:48.000Z,buy_it_now,14800.0,Garantía del vendedor: 3 meses,500,"['good_quality_picture', 'immediate_payment', 'cart_eligible']",active,Capital Federal,,MLA16233185,284824585,MLA352001, Chromecast With Google Tv  De Voz 4k 8gb  Snow Con Memoria Ram De 2gb,new,5,,MLA-STREAMING_MEDIA_DEVICES,MLA903487324
MLA832082627,784,,True,5799.0,Argentina,gold_special,2019-12-27T21:33:05.000Z,buy_it_now,5799.0,,1,"['loyalty_discount_eligible', 'brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",active,Capital Federal,,MLA6125039,70470402,MLA352001, Google Chromecast 2nd Generation  Full Hd 256mb  Negro Con Memoria Ram De 512mb,new,500,,MLA-STREAMING_MEDIA_DEVICES,MLA832082627
MLA898700662,57,,True,14200.0,Argentina,gold_special,2020-11-25T14:11:57.000Z,buy_it_now,14200.0,Garantía del vendedor: 3 meses,1,"['brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",active,Capital Federal,,MLA6304839,309453406,MLA352001, Google Chromecast Ultra  4k  Negro Con Memoria Ram De 1gb,new,25,,MLA-STREAMING_MEDIA_DEVICES,MLA898700662
MLA871703477,50,,True,4999.0,Argentina,gold_special,2020-08-04T19:43:43.000Z,buy_it_now,4999.0,,1,"['brand_verified', 'good_quality_picture', 'immediate_payment']",active,Capital Federal,,MLA6125043,143125485,MLA352001, Google Chromecast 1st Generation H2g2-42  Full Hd 2gb  Negro Con Memoria Ram De 512mb,new,25,229,MLA-STREAMING_MEDIA_DEVICES,MLA871703477
MLA782706781,6225,,True,5749.0,Argentina,gold_special,2019-04-22T15:38:33.000Z,buy_it_now,5749.0,Garantía de fábrica: 1 años,1,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.88,MLA13841392,69526727,MLA352001,Google Chromecast 3 Generacion Nuevo En Caja Hdmi C/ Fuente,new,500,,MLA-STREAMING_MEDIA_DEVICES,MLA782706781
MLA759895787,3083,,True,5709.0,Argentina,gold_special,2018-11-26T17:57:06.000Z,buy_it_now,5709.0,Garantía del vendedor: 12 meses,500,"['good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.9,MLA13841393,86898163,MLA352001,Google Chromecast 3 Generacion Smart Tv Original + Fuente,new,500,,MLA-STREAMING_MEDIA_DEVICES,MLA759895787
MLA681084500,6268,,True,5739.0,Argentina,gold_special,2017-08-31T18:17:03.000Z,buy_it_now,5739.0,Garantía del vendedor: 6 meses,250,"['brand_verified', 'catalog_listing_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.83,MLA13841392,255318143,MLA352001,Google Chromecast 3 Smart Tv Hdmi Usb Nuevo Modelo Gtia ,new,500,,MLA-STREAMING_MEDIA_DEVICES,MLA681084500
MLA886510335,357,17999,True,16299.0,Argentina,gold_special,2020-11-02T20:16:28.000Z,buy_it_now,16299.0,Garantía del vendedor: 3 meses,1,"['loyalty_discount_eligible', 'brand_verified', 'catalog_listing_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.8,MLA16233184,119914491,MLA352001,Google Chromecast Con Google Tv 4k Hdmi Streaming Android Tv,new,258,,MLA-STREAMING_MEDIA_DEVICES,MLA886510335
MLA897609943,615,,True,14999.0,Argentina,gold_special,2020-11-17T18:13:55.000Z,buy_it_now,14999.0,Garantía del vendedor: 6 meses,250,"['good_quality_thumbnail', 'brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.9,MLA16233184,153491318,MLA352001,Chromecast 4ta Generacion Con Google Tv + Control Remoto ,new,250,,MLA-STREAMING_MEDIA_DEVICES,MLA897609943
MLA885869161,25,,True,35998.8,Argentina,gold_special,2020-10-28T20:04:33.000Z,buy_it_now,35998.8,Garantía de fábrica: 12 meses,1,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",active,Buenos Aires,,MLA9452524,183212103,MLA1055,Moto G6 Plus 64 Gb Nimbus 4 Gb Ram,new,4,2227,MLA-CELLPHONES,MLA885869161
MLA884005713,5,,True,28300.0,Argentina,gold_special,2020-10-15T14:18:37.000Z,buy_it_now,28300.0,Garantía del vendedor: 3 meses,1,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",active,Capital Federal,,MLA9652754,284824585,MLA1055,Moto G6 32 Gb Índigo Oscuro 3 Gb Ram,new,4,,MLA-CELLPHONES,MLA884005713
MLA902033509,1,,True,11500.0,Argentina,gold_special,2020-12-22T22:49:02.000Z,buy_it_now,11500.0,Sin garantía,1,"['poor_quality_picture', 'dragged_bids_and_visits', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.66,MLA9452522,156434130,MLA1055,Moto G6 Plus |+caja Completa|-no Prende ,used,0,,MLA-CELLPHONES,MLA902033509
MLA900886052,1,,True,16000.0,Argentina,gold_special,2020-12-13T07:32:16.000Z,buy_it_now,16000.0,Sin garantía,1,"['poor_quality_picture', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.66,MLA9452522,6778245,MLA1055,Celular Motorola G6 Play,used,0,,MLA-CELLPHONES,MLA900886052
MLA899797530,10,,True,19000.0,Argentina,gold_special,2020-12-03T13:37:24.000Z,buy_it_now,19000.0,Garantía del vendedor: 6 meses,1,"['brand_verified', 'good_quality_picture', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.7,MLA9413721,79599554,MLA1055,Celular Motorola Xt1922-4 - Moto G6 Play - 32gb - Dorado,new,5,,MLA-CELLPHONES,MLA899797530
MLA902102999,1,,True,16000.0,Argentina,gold_special,2020-12-23T17:44:46.000Z,buy_it_now,16000.0,Sin garantía,1,"['poor_quality_picture', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.77,MLA9652753,184895209,MLA1055,Moto G6 32 Gb Usado,used,0,,MLA-CELLPHONES,MLA902102999
MLA844157293,11,,True,18999.0,Argentina,gold_special,2020-03-16T20:34:25.000Z,buy_it_now,18999.0,Garantía del vendedor: 90 días,1,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.72,MLA9652753,304248120,MLA1055,Motorola Moto G6 Bueno Indigo Liberado,new,5,,MLA-CELLPHONES,MLA844157293
MLA904510711,1,,True,21000.0,Argentina,gold_special,2021-01-16T20:42:00.000Z,buy_it_now,21000.0,Garantía del vendedor: 6 meses,1,"['good_quality_picture', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.8,MLA9652753,216203805,MLA1055,Moto G6 32 Gb Plata 3 Gb Ram Tienda Hyt,new,0,,MLA-CELLPHONES,MLA904510711
MLA900570213,1,,True,8990.0,Argentina,gold_special,2020-12-10T19:52:50.000Z,buy_it_now,8990.0,Sin garantía,1,"['poor_quality_picture', 'immediate_payment', 'cart_eligible']",active,Buenos Aires,0.66,MLA9652753,98247283,MLA1055,Celular Moto G6 Para Repuesto / No Prende,used,0,,MLA-CELLPHONES,MLA900570213
MLA837480456,37,,True,28299.0,Argentina,gold_special,2020-02-04T12:48:36.000Z,buy_it_now,28299.0,Garantía del vendedor: 90 días,1,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.72,MLA9452522,304248120,MLA1055,Motorola Moto G6 Plus Muy Bueno Indigo Liberado,new,25,,MLA-CELLPHONES,MLA837480456
MLA900491668,2601,,True,74999.0,Argentina,gold_pro,2020-12-10T12:54:10.000Z,buy_it_now,74999.0,Garantía de fábrica: 12 meses,500,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'loyalty_discount_eligible', 'immediate_payment']",active,Buenos Aires,,MLA16211370,608846165,MLA1055,Samsung Galaxy S20 Fe 128 Gb Cloud Navy 6 Gb Ram,new,500,1550,MLA-CELLPHONES,MLA900491668
MLA885848688,39,,True,114999.0,Argentina,gold_special,2020-10-28T19:27:22.000Z,buy_it_now,114999.0,Garantía de fábrica: 12 meses,1,"['brand_verified', 'good_quality_picture', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",active,Capital Federal,,MLA15482172,287440338,MLA1055,Samsung Galaxy S20+ 128 Gb Cosmic Gray 8 Gb Ram,new,25,1425,MLA-CELLPHONES,MLA885848688
MLA903779886,6,,True,153999.0,Argentina,gold_special,2021-01-10T21:30:32.000Z,buy_it_now,153999.0,Garantía de fábrica: 12 meses,1,"['loyalty_discount_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",active,Capital Federal,,MLA15764703,79076726,MLA1055,Samsung Galaxy S20 Ultra 128 Gb Cosmic Black 12 Gb Ram,new,5,,MLA-CELLPHONES,MLA903779886
MLA896352575,3196,,True,74999.0,Argentina,gold_pro,2020-11-09T12:46:34.000Z,buy_it_now,74999.0,Garantía de fábrica: 12 meses,500,"['loyalty_discount_eligible', 'brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",active,Buenos Aires,1,MLA16144128,608846165,MLA1055,Samsung S20 Fan Edition Azul,new,500,1550,MLA-CELLPHONES,MLA896352575
MLA896353418,1988,,True,74999.0,Argentina,gold_pro,2020-11-09T12:46:35.000Z,buy_it_now,74999.0,Garantía de fábrica: 12 meses,500,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment']",active,Buenos Aires,1,MLA16144128,608846165,MLA1055,Samsung S20 Fan Edition Verde,new,500,1550,MLA-CELLPHONES,MLA896353418
MLA898866036,12,,True,74999.0,Argentina,gold_special,2020-11-26T14:00:06.000Z,buy_it_now,74999.0,Garantía de fábrica: 12 meses,1,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.9,MLA16144128,172753273,MLA1055,Celular Samsung Galaxy S20 Fe (fan Edition) Liberado Rojo,new,0,,MLA-CELLPHONES,MLA898866036
MLA896352574,348,,True,74999.0,Argentina,gold_pro,2020-11-09T12:46:34.000Z,buy_it_now,74999.0,Garantía de fábrica: 12 meses,100,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment']",active,Buenos Aires,1,MLA16144128,608846165,MLA1055,Samsung S20 Fan Edition ,new,200,1550,MLA-CELLPHONES,MLA896352574
MLA896352576,793,,True,74999.0,Argentina,gold_pro,2020-11-09T12:46:34.000Z,buy_it_now,74999.0,Garantía de fábrica: 12 meses,250,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'immediate_payment']",active,Buenos Aires,1,MLA16144128,608846165,MLA1055,Samsung S20 Fan Edition,new,250,1550,MLA-CELLPHONES,MLA896352576
MLA904219481,5,,True,72900.0,Argentina,gold_special,2021-01-14T16:20:14.000Z,buy_it_now,72900.0,Garantía de fábrica: 12 meses,1,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.9,MLA16144128,174667217,MLA1055,Samsung Galaxy S20 Fe * Nuevos * Libres * Gtia * Tope Hogar,new,1,,MLA-CELLPHONES,MLA904219481
MLA904279545,1,,True,73999.0,Argentina,gold_special,2021-01-14T22:45:42.000Z,buy_it_now,73999.0,Garantía de fábrica: 12 meses,1,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.9,MLA16144128,20925373,MLA1055,Samsung Galaxy S20 Fe 128 Gb Cloud Lavender 6 Gb Ram,new,0,,MLA-CELLPHONES,MLA904279545
MLA865569740,34,,True,225000.0,Argentina,gold_special,2020-07-01T20:54:03.000Z,buy_it_now,225000.0,Garantía de fábrica: 12 meses,2,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.87,,44778367,MLA1652,"Macbook Air 13.3 Intel Core I5 512gb Ssd, 8gb (nuevo Modelo)",new,15,,MLA-NOTEBOOKS,MLA865569740
MLA865606925,33,,True,160000.0,Argentina,gold_special,2020-07-02T00:57:57.000Z,buy_it_now,160000.0,Garantía del vendedor: 6 meses,1,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.75,MLA15913938,5276693,MLA1652,Apple Macbook Air 13.3' 2020 Intel I3 8gb 256gb,new,15,,MLA-NOTEBOOKS,MLA865606925
MLA902168595,5,,True,154900.0,Argentina,gold_special,2020-12-24T15:15:11.000Z,buy_it_now,154900.0,Garantía de fábrica: 12 meses,1,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",active,Córdoba,0.87,MLA15913938,158169010,MLA1652,"Apple Macbook Air 13.3 Intel Core I3 256gb Ssd, 8gb Envios",new,4,,MLA-NOTEBOOKS,MLA902168595
MLA880589258,5,,True,200000.0,Argentina,gold_special,2020-09-25T05:46:36.000Z,buy_it_now,200000.0,Garantía del vendedor: 6 meses,1,"['good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.75,MLA15913938,5276693,MLA1652,Apple Macbook Air 13 Core I5 8gb 512gb Ssd Modelo 2020,new,4,,MLA-NOTEBOOKS,MLA880589258
MLA871311137,8,,True,200000.0,Argentina,gold_special,2020-08-02T06:21:45.000Z,buy_it_now,200000.0,Garantía del vendedor: 6 meses,1,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.87,,5276693,MLA1652,Apple Macbook Air 13 Core I5 8gb 512gb Ssd Modelo 2020,new,6,,MLA-NOTEBOOKS,MLA871311137
MLA896864876,10,,True,154499.0,Argentina,gold_special,2020-11-12T13:17:42.000Z,buy_it_now,154499.0,Garantía de fábrica: 12 meses,2,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.87,MLA15913938,86898163,MLA1652,"Apple Macbook Air 2020 13.3 Core I3 8gb 256gb A2179 1,29kg",new,6,,MLA-NOTEBOOKS,MLA896864876
MLA831825009,20901,,True,259999.0,Argentina,gold_pro,2019-12-26T17:37:14.000Z,buy_it_now,259999.0,Garantía del vendedor: 12 meses,10500,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",active,Capital Federal,1,MLA15913938,225480741,MLA1652,Macbook Air 2020 Retina Sensor Id Ssd256gb 18 Cuotas Sin Int,new,12,,MLA-NOTEBOOKS,MLA831825009
MLA879993229,4,,True,200000.0,Argentina,gold_special,2020-09-22T03:16:38.000Z,buy_it_now,200000.0,Garantía del vendedor: 6 meses,1,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.75,MLA15913938,5276693,MLA1652,Apple Macbook Air 13 Core I5 8gb 512gb Ssd Modelo 2020,new,2,,MLA-NOTEBOOKS,MLA879993229
MLA903404556,3,,True,155999.0,Argentina,gold_special,2021-01-07T02:09:31.000Z,buy_it_now,155999.0,Garantía de fábrica: 1 años,1,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.87,MLA15913938,53644240,MLA1652,Apple Macbook Air 13.3 Español Intel Core I3 256gb Ssd 8gb,new,2,,MLA-NOTEBOOKS,MLA903404556
MLA897147605,1,,True,260000.0,Argentina,gold_special,2020-11-14T01:59:05.000Z,buy_it_now,260000.0,Garantía de fábrica: 12 meses,1,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",active,Buenos Aires,0.8,MLA16598196,337885694,MLA1652,Macbook Pro 13 Touchbar 2020 I5 8gb 256gb Ssd Garantia,new,0,,MLA-NOTEBOOKS,MLA897147605
MLA855055612,9710,46799,True,39999.0,Argentina,gold_pro,2020-05-12T19:14:44.000Z,buy_it_now,39999.0,Garantía de fábrica: 12 meses,500,"['ahora-12', 'brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",active,Capital Federal,1,MLA16368693,180214913,MLA1652,Notebook Exo Smart E19 Intel Celeron Ram4gb Ssd64gb Win10 14,new,5000,341,MLA-NOTEBOOKS,MLA855055612
MLA879479401,500,112999,True,94999.0,Argentina,gold_pro,2020-09-18T21:32:38.000Z,buy_it_now,94999.0,Garantía de fábrica: 12 meses,250,"['good_quality_thumbnail', 'ahora-12', 'brand_verified', 'good_quality_picture', 'immediate_payment']",active,Buenos Aires,1,,417972986,MLA1652,Notebook Core I3 14'' Memoria 8gb Almacenaje 1tb W10 - Tedge,new,5,1824,MLA-NOTEBOOKS,MLA879479401
MLA813103277,465,47999,True,31999.0,Argentina,gold_special,2019-09-05T17:57:09.000Z,buy_it_now,31999.0,Garantía de fábrica: 12 meses,1,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.87,MLA15480111,25704919,MLA1652,Notebook Cx Intel Atom 4gb Ram 64gb Ssd Full Hd 1080p Win 10,new,250,,MLA-NOTEBOOKS,MLA813103277
MLA879933423,1294,61999,True,48999.0,Argentina,gold_special,2020-09-21T20:22:44.000Z,buy_it_now,48999.0,Garantía de fábrica: 12 meses,250,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.9,MLA16240087,174556876,MLA1652,Notebook Lenovo S145 Intel Celeron N4000 15.6 4gb 1tb Oferta,new,500,,MLA-NOTEBOOKS,MLA879933423
MLA885889339,1171,,True,54999.0,Argentina,gold_special,2020-10-28T21:36:18.000Z,buy_it_now,54999.0,Garantía del vendedor: 12 meses,500,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.77,,215299808,MLA1652,Notebook Hp 240 G7 Intel Dual Core 8gb 500 Gb Windows 10,new,250,,MLA-NOTEBOOKS,MLA885889339
MLA834652518,5430,62399,True,52999.0,Argentina,gold_pro,2020-01-16T15:35:29.000Z,buy_it_now,52999.0,Garantía de fábrica: 12 meses,50,"['ahora-12', 'brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",active,Capital Federal,1,MLA15535054,180214913,MLA1652,Notebook Exo Smart E25 4gb 500gb W10 14 Hdmi Usb,new,5000,341,MLA-NOTEBOOKS,MLA834652518
MLA884925033,585,,True,60999.0,Argentina,gold_special,2020-10-22T13:07:12.000Z,buy_it_now,60999.0,Garantía de fábrica: 12 meses,50,"['good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'extended_warranty_eligible', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.87,MLA16041765,174556876,MLA1652,Notebook Hp Amd Ryzen 3 3250u 4gb 128gb Ssd Windows 10,new,500,,MLA-NOTEBOOKS,MLA884925033
MLA895890603,147,145999,True,138699.0,Argentina,gold_pro,2020-11-05T16:37:13.000Z,buy_it_now,138699.0,Garantía de fábrica: 12 meses,1,"['good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",active,Capital Federal,1,MLA16590654,260474743,MLA1652,Notebook Hp Gamer 16-a0061la I5 10300h 8gb 512gb 1650 Win 10,new,100,317,MLA-NOTEBOOKS,MLA895890603
MLA845307107,726,55399,True,35999.0,Argentina,gold_special,2020-03-25T18:57:50.000Z,buy_it_now,35999.0,Garantía del vendedor: 12 meses,100,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.75,,37133205,MLA1652,Notebook Gadnic Glow Cloudbook Intel 4gb Windows 10 + Funda,new,250,945,MLA-NOTEBOOKS,MLA845307107
MLA897829960,1270,,True,52999.0,Argentina,gold_special,2020-11-19T00:04:13.000Z,buy_it_now,52999.0,Garantía de fábrica: 12 meses,500,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.88,MLA16264687,215299808,MLA1652,Notebook Hp 255 G7 Amd Dual Core A9 9425 8gb 1tb Radeon R5  ,new,250,,MLA-NOTEBOOKS,MLA897829960
