id,seller_id,category_id,official_store_id,price,base_price,original_price,initial_quantity,available_quantity,sold_quantity,buying_mode,listing_type_id,start_time,condition,accepts_mercadopago,seller_address.country.name,seller_address.state.name,status,tags,warranty,catalog_product_id,domain_id,health,item_id
MLA885869161,183212103,MLA1055,2227,35998.8,35998.8,,24,1,3,buy_it_now,gold_special,2020-10-28T20:04:33.000Z,new,True,Argentina,Buenos Aires,active,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",Garantía de fábrica: 12 meses,MLA9452524,MLA-CELLPHONES,,MLA885869161
MLA884005713,284824585,MLA1055,,28300.0,28300.0,,5,1,4,buy_it_now,gold_special,2020-10-15T14:18:37.000Z,new,True,Argentina,Capital Federal,active,"['extended_warranty_eligible', 'good_quality_picture', 'brand_verified', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 3 meses,MLA9652754,MLA-CELLPHONES,,MLA884005713
MLA902033509,156434130,MLA1055,,11500.0,11500.0,,1,1,0,buy_it_now,gold_special,2020-12-22T22:49:02.000Z,used,True,Argentina,Capital Federal,active,"['dragged_bids_and_visits', 'poor_quality_picture', 'immediate_payment', 'cart_eligible']",Sin garantía,MLA9452522,MLA-CELLPHONES,0.66,MLA902033509
MLA900886052,6778245,MLA1055,,16000.0,16000.0,,1,1,0,buy_it_now,gold_special,2020-12-13T07:32:16.000Z,used,True,Argentina,Capital Federal,active,"['poor_quality_picture', 'immediate_payment', 'cart_eligible']",Sin garantía,MLA9452522,MLA-CELLPHONES,0.66,MLA900886052
MLA899797530,79599554,MLA1055,,19000.0,19000.0,,10,1,5,buy_it_now,gold_special,2020-12-03T13:37:24.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'good_quality_picture', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 6 meses,MLA9413721,MLA-CELLPHONES,0.7,MLA899797530
MLA844157293,304248120,MLA1055,,18999.0,18999.0,,11,1,5,buy_it_now,gold_special,2020-03-16T20:34:25.000Z,new,True,Argentina,Capital Federal,active,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 90 días,MLA9652753,MLA-CELLPHONES,0.72,MLA844157293
MLA902102999,184895209,MLA1055,,16000.0,16000.0,,1,1,0,buy_it_now,gold_special,2020-12-23T17:44:46.000Z,used,True,Argentina,Capital Federal,active,"['poor_quality_picture', 'immediate_payment', 'cart_eligible']",Sin garantía,MLA9652753,MLA-CELLPHONES,0.77,MLA902102999
MLA904510711,216203805,MLA1055,,21000.0,21000.0,,1,1,0,buy_it_now,gold_special,2021-01-16T20:42:00.000Z,new,True,Argentina,Capital Federal,active,"['good_quality_picture', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 6 meses,MLA9652753,MLA-CELLPHONES,0.8,MLA904510711
MLA900570213,98247283,MLA1055,,8990.0,8990.0,,1,1,0,buy_it_now,gold_special,2020-12-10T19:52:50.000Z,used,True,Argentina,Buenos Aires,active,"['poor_quality_picture', 'immediate_payment', 'cart_eligible']",Sin garantía,MLA9652753,MLA-CELLPHONES,0.66,MLA900570213
MLA837480456,304248120,MLA1055,,28299.0,28299.0,,37,1,25,buy_it_now,gold_special,2020-02-04T12:48:36.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 90 días,MLA9452522,MLA-CELLPHONES,0.72,MLA837480456
MLA897736173,345566645,MLA352001,,5700.0,5700.0,,300,1,250,buy_it_now,gold_special,2020-11-18T15:07:30.000Z,new,True,Argentina,Buenos Aires,active,"['loyalty_discount_eligible', 'brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",Garantía de fábrica: 12 meses,MLA13841393,MLA-STREAMING_MEDIA_DEVICES,,MLA897736173
MLA904043136,99165953,MLA352001,,14800.0,14800.0,,17,1,5,buy_it_now,gold_special,2021-01-13T10:13:49.000Z,new,True,Argentina,Capital Federal,active,"['loyalty_discount_eligible', 'brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 3 meses,MLA16233185,MLA-STREAMING_MEDIA_DEVICES,,MLA904043136
MLA832082627,70470402,MLA352001,,5799.0,5799.0,,784,1,500,buy_it_now,gold_special,2019-12-27T21:33:05.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",,MLA6125039,MLA-STREAMING_MEDIA_DEVICES,,MLA832082627
MLA898700662,309453406,MLA352001,,14200.0,14200.0,,57,1,25,buy_it_now,gold_special,2020-11-25T14:11:57.000Z,new,True,Argentina,Capital Federal,active,"['good_quality_picture', 'brand_verified', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 3 meses,MLA6304839,MLA-STREAMING_MEDIA_DEVICES,,MLA898700662
MLA871703477,143125485,MLA352001,229,4999.0,4999.0,,54,1,25,buy_it_now,gold_special,2020-08-04T19:43:43.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'good_quality_picture', 'immediate_payment']",,MLA6125043,MLA-STREAMING_MEDIA_DEVICES,,MLA871703477
MLA782706781,69526727,MLA352001,,5749.0,5749.0,,6225,50,500,buy_it_now,gold_special,2019-04-22T15:38:33.000Z,new,True,Argentina,Capital Federal,active,"['loyalty_discount_eligible', 'brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Garantía de fábrica: 1 años,MLA13841392,MLA-STREAMING_MEDIA_DEVICES,0.88,MLA782706781
MLA884200837,99165953,MLA352001,,16199.0,16199.0,,417,1,261,buy_it_now,gold_special,2020-10-16T16:49:09.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'catalog_listing_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 3 meses,MLA16233184,MLA-STREAMING_MEDIA_DEVICES,0.81,MLA884200837
MLA759895787,86898163,MLA352001,,5709.0,5709.0,,3083,500,500,buy_it_now,gold_special,2018-11-26T17:57:06.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 12 meses,MLA13841393,MLA-STREAMING_MEDIA_DEVICES,0.9,MLA759895787
MLA681084500,255318143,MLA352001,,5739.0,5739.0,,6268,250,500,buy_it_now,gold_special,2017-08-31T18:17:03.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'catalog_listing_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 6 meses,MLA13841392,MLA-STREAMING_MEDIA_DEVICES,0.83,MLA681084500
MLA886510335,119914491,MLA352001,,16499.0,16499.0,,357,50,258,buy_it_now,gold_special,2020-11-02T20:16:28.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'catalog_listing_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 3 meses,MLA16233184,MLA-STREAMING_MEDIA_DEVICES,0.8,MLA886510335
