item_id,product,seller_id,category_id,official_store_id,price,base_price,original_price,initial_quantity,available_quantity,sold_quantity,buying_mode,listing_type_id,start_time,condition,accepts_mercadopago,seller_address.country.name,seller_address.state.name,status,tags,warranty,catalog_product_id,domain_id,health
MLA885869161,Motorola G6,183212103,MLA1055,2227,35998.8,35998.8,,24,1,3,buy_it_now,gold_special,2020-10-28T20:04:33.000Z,new,True,Argentina,Buenos Aires,active,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",Garantía de fábrica: 12 meses,MLA9452524,MLA-CELLPHONES,
MLA884005713,Motorola G6,284824585,MLA1055,,28300.0,28300.0,,5,1,4,buy_it_now,gold_special,2020-10-15T14:18:37.000Z,new,True,Argentina,Capital Federal,active,"['good_quality_picture', 'brand_verified', 'extended_warranty_eligible', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 3 meses,MLA9652754,MLA-CELLPHONES,
MLA902033509,Motorola G6,156434130,MLA1055,,11500.0,11500.0,,1,1,0,buy_it_now,gold_special,2020-12-22T22:49:02.000Z,used,True,Argentina,Capital Federal,active,"['dragged_bids_and_visits', 'poor_quality_picture', 'immediate_payment', 'cart_eligible']",Sin garantía,MLA9452522,MLA-CELLPHONES,0.66
MLA900886052,Motorola G6,6778245,MLA1055,,16000.0,16000.0,,1,1,0,buy_it_now,gold_special,2020-12-13T07:32:16.000Z,used,True,Argentina,Capital Federal,active,"['poor_quality_picture', 'immediate_payment', 'cart_eligible']",Sin garantía,MLA9452522,MLA-CELLPHONES,0.66
MLA899797530,Motorola G6,79599554,MLA1055,,19000.0,19000.0,,10,1,5,buy_it_now,gold_special,2020-12-03T13:37:24.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'good_quality_picture', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 6 meses,MLA9413721,MLA-CELLPHONES,0.7
MLA844157293,Motorola G6,304248120,MLA1055,,18999.0,18999.0,,11,1,5,buy_it_now,gold_special,2020-03-16T20:34:25.000Z,new,True,Argentina,Capital Federal,active,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 90 días,MLA9652753,MLA-CELLPHONES,0.72
MLA902102999,Motorola G6,184895209,MLA1055,,16000.0,16000.0,,1,1,0,buy_it_now,gold_special,2020-12-23T17:44:46.000Z,used,True,Argentina,Capital Federal,active,"['poor_quality_picture', 'immediate_payment', 'cart_eligible']",Sin garantía,MLA9652753,MLA-CELLPHONES,0.77
MLA904510711,Motorola G6,216203805,MLA1055,,21000.0,21000.0,,1,1,0,buy_it_now,gold_special,2021-01-16T20:42:00.000Z,new,True,Argentina,Capital Federal,active,"['good_quality_picture', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 6 meses,MLA9652753,MLA-CELLPHONES,0.8
MLA900570213,Motorola G6,98247283,MLA1055,,8990.0,8990.0,,1,1,0,buy_it_now,gold_special,2020-12-10T19:52:50.000Z,used,True,Argentina,Buenos Aires,active,"['poor_quality_picture', 'immediate_payment', 'cart_eligible']",Sin garantía,MLA9652753,MLA-CELLPHONES,0.66
MLA837480456,Motorola G6,304248120,MLA1055,,28299.0,28299.0,,37,1,25,buy_it_now,gold_special,2020-02-04T12:48:36.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 90 días,MLA9452522,MLA-CELLPHONES,0.72
MLA897736173,Chromecast,345566645,MLA352001,,5700.0,5700.0,,300,1,250,buy_it_now,gold_special,2020-11-18T15:07:30.000Z,new,True,Argentina,Buenos Aires,active,"['brand_verified', 'good_quality_picture', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",Garantía de fábrica: 12 meses,MLA13841393,MLA-STREAMING_MEDIA_DEVICES,
MLA904043136,Chromecast,99165953,MLA352001,,14800.0,14800.0,,17,1,5,buy_it_now,gold_special,2021-01-13T10:13:49.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'good_quality_picture', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 3 meses,MLA16233185,MLA-STREAMING_MEDIA_DEVICES,
MLA832082627,Chromecast,70470402,MLA352001,,5799.0,5799.0,,784,1,500,buy_it_now,gold_special,2019-12-27T21:33:05.000Z,new,True,Argentina,Capital Federal,active,"['loyalty_discount_eligible', 'brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",,MLA6125039,MLA-STREAMING_MEDIA_DEVICES,
MLA898700662,Chromecast,309453406,MLA352001,,14200.0,14200.0,,57,1,25,buy_it_now,gold_special,2020-11-25T14:11:57.000Z,new,True,Argentina,Capital Federal,active,"['good_quality_picture', 'brand_verified', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 3 meses,MLA6304839,MLA-STREAMING_MEDIA_DEVICES,
MLA871703477,Chromecast,143125485,MLA352001,229,4999.0,4999.0,,54,1,25,buy_it_now,gold_special,2020-08-04T19:43:43.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'good_quality_picture', 'immediate_payment']",,MLA6125043,MLA-STREAMING_MEDIA_DEVICES,
MLA782706781,Chromecast,69526727,MLA352001,,5749.0,5749.0,,6225,50,500,buy_it_now,gold_special,2019-04-22T15:38:33.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",Garantía de fábrica: 1 años,MLA13841392,MLA-STREAMING_MEDIA_DEVICES,0.88
MLA884200837,Chromecast,99165953,MLA352001,,16199.0,16199.0,,417,1,261,buy_it_now,gold_special,2020-10-16T16:49:09.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'catalog_listing_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 3 meses,MLA16233184,MLA-STREAMING_MEDIA_DEVICES,0.81
MLA759895787,Chromecast,86898163,MLA352001,,5709.0,5709.0,,3083,500,500,buy_it_now,gold_special,2018-11-26T17:57:06.000Z,new,True,Argentina,Capital Federal,active,"['good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 12 meses,MLA13841393,MLA-STREAMING_MEDIA_DEVICES,0.9
MLA681084500,Chromecast,255318143,MLA352001,,5739.0,5739.0,,6268,250,500,buy_it_now,gold_special,2017-08-31T18:17:03.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'catalog_listing_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 6 meses,MLA13841392,MLA-STREAMING_MEDIA_DEVICES,0.83
MLA886510335,Chromecast,119914491,MLA352001,,16499.0,16499.0,,357,50,258,buy_it_now,gold_special,2020-11-02T20:16:28.000Z,new,True,Argentina,Capital Federal,active,"['good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'catalog_listing_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 3 meses,MLA16233184,MLA-STREAMING_MEDIA_DEVICES,0.8
MLA855055612,Notebook,180214913,MLA1652,341,39999.0,39999.0,,9710,500,5000,buy_it_now,gold_pro,2020-05-12T19:14:44.000Z,new,True,Argentina,Capital Federal,active,"['ahora-12', 'brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",Garantía de fábrica: 12 meses,MLA16368693,MLA-NOTEBOOKS,1
MLA879479401,Notebook,417972986,MLA1652,1824,99999.0,99999.0,112999,500,250,5,buy_it_now,gold_pro,2020-09-18T21:32:38.000Z,new,True,Argentina,Buenos Aires,active,"['ahora-12', 'brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",Garantía de fábrica: 12 meses,,MLA-NOTEBOOKS,1
MLA813103277,Notebook,25704919,MLA1652,,31999.0,31999.0,,465,1,250,buy_it_now,gold_special,2019-09-05T17:57:09.000Z,new,True,Argentina,Capital Federal,active,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",Garantía de fábrica: 12 meses,MLA15480111,MLA-NOTEBOOKS,0.87
MLA879933423,Notebook,174556876,MLA1652,,48999.0,48999.0,,1294,250,500,buy_it_now,gold_special,2020-09-21T20:22:44.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Garantía de fábrica: 12 meses,MLA16240087,MLA-NOTEBOOKS,0.9
MLA885889339,Notebook,215299808,MLA1652,,54999.0,54999.0,,1171,500,250,buy_it_now,gold_special,2020-10-28T21:36:18.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 12 meses,,MLA-NOTEBOOKS,0.77
MLA834652518,Notebook,180214913,MLA1652,341,52999.0,52999.0,,5430,50,5000,buy_it_now,gold_pro,2020-01-16T15:35:29.000Z,new,True,Argentina,Capital Federal,active,"['ahora-12', 'brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",Garantía de fábrica: 12 meses,MLA15535054,MLA-NOTEBOOKS,1
MLA884925033,Notebook,174556876,MLA1652,,60999.0,60999.0,,585,50,500,buy_it_now,gold_special,2020-10-22T13:07:12.000Z,new,True,Argentina,Capital Federal,active,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'immediate_payment', 'cart_eligible']",Garantía de fábrica: 12 meses,MLA16041765,MLA-NOTEBOOKS,0.87
MLA895890603,Notebook,260474743,MLA1652,317,145999.0,145999.0,,147,1,100,buy_it_now,gold_pro,2020-11-05T16:37:13.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",Garantía de fábrica: 12 meses,MLA16590654,MLA-NOTEBOOKS,1
MLA845307107,Notebook,37133205,MLA1652,945,35999.0,35999.0,,726,100,250,buy_it_now,gold_special,2020-03-25T18:57:50.000Z,new,True,Argentina,Capital Federal,active,"['good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 12 meses,,MLA-NOTEBOOKS,0.75
MLA897829960,Notebook,215299808,MLA1652,,52999.0,52999.0,,1270,500,250,buy_it_now,gold_special,2020-11-19T00:04:13.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Garantía de fábrica: 12 meses,MLA16264687,MLA-NOTEBOOKS,0.88
MLA901971293,Mac,466012382,MLA29901,1957,2700.0,2700.0,,62,1,50,buy_it_now,gold_pro,2020-12-22T16:14:25.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'good_quality_picture', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",,MLA11806020,MLA-MASCARAS,
MLA813727175,Mac,466012382,MLA389621,1957,4830.0,4830.0,,1925,152,725,buy_it_now,gold_special,2019-09-09T13:57:28.000Z,new,True,Argentina,Capital Federal,active,"['loyalty_discount_eligible', 'brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",,,MLA-MAKEUP_ILLUMINATORS,0.87
MLA865569740,Mac,44778367,MLA1652,,225000.0,225000.0,,34,2,15,buy_it_now,gold_special,2020-07-01T20:54:03.000Z,new,True,Argentina,Capital Federal,active,"['good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'immediate_payment', 'cart_eligible']",Garantía de fábrica: 12 meses,,MLA-NOTEBOOKS,0.87
MLA865569740,Mac,44778367,MLA1652,,225000.0,225000.0,,34,2,15,buy_it_now,gold_special,2020-07-01T20:54:03.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",Garantía de fábrica: 12 meses,,MLA-NOTEBOOKS,0.87
MLA831825009,Mac,225480741,MLA1652,,259999.0,259999.0,,20901,10500,12,buy_it_now,gold_pro,2019-12-26T17:37:14.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 12 meses,MLA15913938,MLA-NOTEBOOKS,1
MLA831825009,Mac,225480741,MLA1652,,259999.0,259999.0,,20901,10500,12,buy_it_now,gold_pro,2019-12-26T17:37:14.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 12 meses,MLA15913938,MLA-NOTEBOOKS,1
MLA812786046,Mac,466012382,MLA29901,1957,2700.0,2700.0,,248,1,200,buy_it_now,gold_special,2019-09-04T13:36:09.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",,MLA11806019,MLA-MASCARAS,0.88
MLA884222048,Mac,466012382,MLA389621,1957,4612.0,4612.0,6589,141,1,75,buy_it_now,gold_special,2020-10-16T19:03:35.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",,,MLA-MAKEUP_ILLUMINATORS,0.75
MLA898885975,Mac,466012382,MLA29901,1957,2100.0,2100.0,,71,1,50,buy_it_now,gold_special,2020-11-26T15:27:21.000Z,new,True,Argentina,Capital Federal,active,"['good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",,,MLA-MASCARAS,0.77
MLA812786061,Mac,466012382,MLA389621,1957,4830.0,4830.0,,412,6,236,buy_it_now,gold_special,2019-09-04T13:36:10.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",,,MLA-MAKEUP_ILLUMINATORS,0.75
MLA812816316,Mac,466012382,MLA389621,1957,6071.0,6071.0,,892,53,600,buy_it_now,gold_special,2019-09-04T14:34:34.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",,,MLA-MAKEUP_ILLUMINATORS,0.87
MLA865606925,Mac,5276693,MLA1652,,160000.0,160000.0,,33,1,15,buy_it_now,gold_special,2020-07-02T00:57:57.000Z,new,True,Argentina,Capital Federal,active,"['loyalty_discount_eligible', 'brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 6 meses,MLA15913938,MLA-NOTEBOOKS,0.75
MLA865606925,Mac,5276693,MLA1652,,160000.0,160000.0,,33,1,15,buy_it_now,gold_special,2020-07-02T00:57:57.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 6 meses,MLA15913938,MLA-NOTEBOOKS,0.75
MLA865569740,Macbook,44778367,MLA1652,,225000.0,225000.0,,34,2,15,buy_it_now,gold_special,2020-07-01T20:54:03.000Z,new,True,Argentina,Capital Federal,active,"['good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'immediate_payment', 'cart_eligible']",Garantía de fábrica: 12 meses,,MLA-NOTEBOOKS,0.87
MLA865569740,Macbook,44778367,MLA1652,,225000.0,225000.0,,34,2,15,buy_it_now,gold_special,2020-07-01T20:54:03.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",Garantía de fábrica: 12 meses,,MLA-NOTEBOOKS,0.87
MLA865606925,Macbook,5276693,MLA1652,,160000.0,160000.0,,33,1,15,buy_it_now,gold_special,2020-07-02T00:57:57.000Z,new,True,Argentina,Capital Federal,active,"['loyalty_discount_eligible', 'brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 6 meses,MLA15913938,MLA-NOTEBOOKS,0.75
MLA865606925,Macbook,5276693,MLA1652,,160000.0,160000.0,,33,1,15,buy_it_now,gold_special,2020-07-02T00:57:57.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 6 meses,MLA15913938,MLA-NOTEBOOKS,0.75
MLA902168595,Macbook,158169010,MLA1652,,154900.0,154900.0,,5,1,4,buy_it_now,gold_special,2020-12-24T15:15:11.000Z,new,True,Argentina,Córdoba,active,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Garantía de fábrica: 12 meses,MLA15913938,MLA-NOTEBOOKS,0.87
MLA871311137,Macbook,5276693,MLA1652,,200000.0,200000.0,,7,1,6,buy_it_now,gold_special,2020-08-02T06:21:45.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 6 meses,,MLA-NOTEBOOKS,0.87
MLA831825009,Macbook,225480741,MLA1652,,259999.0,259999.0,,20901,10500,12,buy_it_now,gold_pro,2019-12-26T17:37:14.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 12 meses,MLA15913938,MLA-NOTEBOOKS,1
MLA831825009,Macbook,225480741,MLA1652,,259999.0,259999.0,,20901,10500,12,buy_it_now,gold_pro,2019-12-26T17:37:14.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 12 meses,MLA15913938,MLA-NOTEBOOKS,1
MLA879993229,Macbook,5276693,MLA1652,,200000.0,200000.0,,3,1,2,buy_it_now,gold_special,2020-09-22T03:16:38.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 6 meses,MLA15913938,MLA-NOTEBOOKS,0.75
MLA903404556,Macbook,53644240,MLA1652,,155999.0,155999.0,,3,1,2,buy_it_now,gold_special,2021-01-07T02:09:31.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Garantía de fábrica: 1 años,MLA15913938,MLA-NOTEBOOKS,0.87
MLA896864876,Macbook,86898163,MLA1652,,154499.0,154499.0,,10,2,4,buy_it_now,gold_special,2020-11-12T13:17:42.000Z,new,True,Argentina,Capital Federal,active,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Garantía de fábrica: 12 meses,MLA15913938,MLA-NOTEBOOKS,0.87
MLA897147605,Macbook,337885694,MLA1652,,260000.0,260000.0,,1,1,0,buy_it_now,gold_special,2020-11-14T01:59:05.000Z,new,True,Argentina,Buenos Aires,active,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Garantía de fábrica: 12 meses,MLA16598196,MLA-NOTEBOOKS,0.8
MLA885542068,Macbook,82274172,MLA1652,,153799.0,153799.0,,22,2,8,buy_it_now,gold_special,2020-10-26T21:48:14.000Z,new,True,Argentina,Capital Federal,active,"['loyalty_discount_eligible', 'brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Garantía de fábrica: 12 meses,MLA15913938,MLA-NOTEBOOKS,0.88
